key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-395285324,North-south and climate-landscape-associated pattern of population structure for the Atlantic Forest White Morpho butterflies*,2021,8,,MOLECULAR PHYLOGENETICS AND EVOLUTION,"[""1055-7903"", ""1095-9513     J9  - MOL PHYLOGENET EVOL     JI  - Mol. Phylogenet. Evol.""]",161,,,"Pablos, JL and Silva, AK and Seraphim, N and Magaldi, LD and de Souza, AP and Freitas, AVL and Silva-Brandao, KL",,English,,"[""Univ Estadual Campinas, Inst Biol, Dept Biol Anim, Rua Monteiro Lobato 255, BR-13083862 Campinas, SP, Brazil"", ""Inst Fed Educ Ciencia & Tecnol Sao Paulo, Campus Campinas,Rua Heitor Lacerda Guedes 1000, BR-13059581 Campinas, SP, Brazil"", ""Univ Estadual Campinas, Ctr Biol Mol & Engn Genet, Av Candido Rondom 400, BR-13083875 Campinas, SP, Brazil"", ""Univ Fed ABC, Ctr Ciencias Nat & Humanas, Av Estados 5001, BR-09210580 Santo Andre, SP, Brazil""]",,Times Cited in Web of Science Core Collection:  0     Total Times Cited:  0     Cited Reference Count:  139,10.1016/j.ympev.2021.107157,Microsatellite;mtDNA;Phylogeography;Population genetics;Refugium;RAIN-FOREST;MICROSATELLITE LOCI;MITOCHONDRIAL-DNA;GENETIC-STRUCTURE;VEGETATION DYNAMICS;SPECIES LIMITS;STINGLESS BEE;LEPIDOPTERA;NYMPHALIDAE;EVOLUTION;European Continental Ancestry Group;Trees,,
rayyan-395285294,Oviposition by the Mountain Alcon Blue butterfly increases with host plant flower number and host ant abundance,2018,5,,BASIC AND APPLIED ECOLOGY,"[""1439-1791"", ""1618-0089     J9  - BASIC APPL ECOL     JI  - Basic Appl. Ecol.""]",28,,87-96,"Carleial, S and Maurel, N and van Kleunen, M and Stift, M",,English,,"[""Univ Konstanz, Dept Biol, Ecol, D-78457 Constance, Germany"", ""Taizhou Univ, Zhejiang Prov Key Lab Plant Evolutionary Ecol & C, Taizhou 318000, Peoples R China""]",,Times Cited in Web of Science Core Collection:  3     Total Times Cited:  3     Cited Reference Count:  45,10.1016/j.baae.2018.02.008     WE  - Science Citation Index Expanded (SCI-EXPANDED)     WE  - Conference Proceedings Citation Index - Science (CPCI-S),Co-evolution;Phengaris (Maculinea) alcon rebeli;Myrmecophily;Gentiana pneumonanthe;Gentiana asclepiadea;Oviposition preference;Social parasitism;Myrmica scabrinodis;SELECTION;LEPIDOPTERA;PERFORMANCE;LYCAENIDAE;PREFERENCE;PATTERNS;ECOLOGY;SPECIFICITY;CRUCIATA;BEHAVIOR;Mountaineering,,
rayyan-395285490,Increasing the proportion and quality of land under agri-environment schemes promotes birds and butterflies at the landscape scale,2019,3,,BIOLOGICAL CONSERVATION,"[""0006-3207"", ""1873-2917     J9  - BIOL CONSERV     JI  - Biol. Conserv.""]",231,,39-48,"Zingg, S and Ritschard, E and Arlettaz, R and Humbert, JY",,English,,"[""Univ Bern, Inst Ecol & Evolut, Div Conservat Biol, CH-3012 Bern, Switzerland"", ""Bern Univ Appl Sci, Sch Agr Forest & Food Sci, CH-3052 Zollikofen, Switzerland"", ""Swiss Ornithol Inst, Valais Field Stn, CH-1950 Sion, Switzerland""]",,Times Cited in Web of Science Core Collection:  23     Total Times Cited:  24     Cited Reference Count:  58,10.1016/j.biocon.2018.12.022     WE  - Science Citation Index Expanded (SCI-EXPANDED),Agriculture;Agricultural policy;Biodiversity conservation;Farmland;Habitat quality;Landscape composition;Restoration;SPECIES RICHNESS;FARMLAND BIRDS;HABITAT AREA;BIODIVERSITY;FIELD;HETEROGENEITY;CONNECTIVITY;CONSERVATION;ABUNDANCE;IMPACT,,
rayyan-395284940,Changes in climate drive recent monarch butterfly dynamics,2021,10,,NATURE ECOLOGY & EVOLUTION,2397-334X     J9  - NAT ECOL EVOL     JI  - Nat. Ecol. Evol.,5,10,1441-+,"Zylstra, ER and Ries, L and Neupane, N and Saunders, SP and Ramirez, MI and Rendon-Salinas, E and Oberhauser, KS and Farr, MT and Zipkin, EF",,English,,"[""Michigan State Univ, Dept Integrat Biol, Ecol Evolut & Behav Program, E Lansing, MI 48824 USA"", ""Georgetown Univ, Dept Biol, Washington, DC 20057 USA"", ""Natl Audubon Soc, New York, NY USA"", ""Univ Nacl Autonoma Mexico, Ctr Invest Geog Ambiental, Morelia, Michoacan, Mexico"", ""World Wildlife Fund Mexico, Terr Ecosyst Program, Zitacuaro, Mexico"", ""Univ Wisconsin, Univ Wisconsin Arboretum, Madison, WI USA""]",,Times Cited in Web of Science Core Collection:  12     Total Times Cited:  12     Cited Reference Count:  85,10.1038/s41559-021-01504-1,BIOSPHERE RESERVE;LAND-COVER;ABUNDANCE;MEXICO;DECLINES;TRENDS;TERRESTRIAL;LEPIDOPTERA;TEMPERATURE;MIGRATION,,
rayyan-395284970,Ecological specialization is associated with genetic structure in the ant-associated butterfly family Lycaenidae,2018,9,12,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,"[""0962-8452"", ""1471-2954     J9  - P ROY SOC B-BIOL SCI     JI  - Proc. R. Soc. B-Biol. Sci.""]",285,1886,,"Schar, S and Eastwood, R and Arnaldi, KG and Talavera, G and Kaliszewska, ZA and Boyle, JH and Espeland, M and Nash, DR and Vila, R and Pierce, NE",,English,,"[""Harvard Univ, Dept Organism & Evolutionary Biol, 26 Oxford St, Cambridge, MA 02138 USA"", ""Inst Biol Evolut CSIC UPF, Passeig Maritim de la Barceloneta 37, Barcelona 08003, Spain"", ""Univ Copenhagen, Ctr Social Evolut, Dept Biol, Univ Pk 15, DK-2100 Copenhagen O, Denmark"", ""Eidgenoss Tech Hsch Zurich, Inst Agr Sci Biocommun & Entomol, Weinbergstr 56-58, CH-8092 Zurich, Switzerland"", ""Zool Res Museum Alexander Koenig, Arthropoda Dept, Adenauer Allee 160, D-53113 Bonn, Germany""]",,Times Cited in Web of Science Core Collection:  4     Total Times Cited:  4     Cited Reference Count:  48,10.1098/rspb.2018.1158     WE  - Science Citation Index Expanded (SCI-EXPANDED),ecological islands;myrmecophily;DNA barcoding;haplotype diversity;divergence;isolation by distance;HOST RACE FORMATION;JALMENUS-EVAGORAS;PHYTOPHAGOUS INSECTS;MOLECULAR EVOLUTION;R-PACKAGE;LEPIDOPTERA;PLANTS;DIVERSIFICATION;COEVOLUTION;PHYLOGENIES,,
rayyan-395285302,Resource availability drives trait composition of butterfly assemblages,2019,8,,OECOLOGIA,"[""0029-8549"", ""1432-1939     J9  - OECOLOGIA     JI  - Oecologia""]",190,4,913-926,"Zhang, CS and Settele, J and Sun, WH and Wiemers, M and Zhang, YL and Schweiger, O",,English,,"[""Northwest A&F Univ, Key Lab Plant Protect Resources & Pest Management, Minist Educ, Entomol Museum, Yangling 712100, Shaanxi, Peoples R China"", ""UFZ, Dept Community Ecol, Helmholtz Ctr Environm Res, Theodor Lieser Str 4, D-06120 Halle, Germany"", ""German Ctr Integrat Biodivers Res iDiv, IDiv, Deutsch Pl 5e, D-04103 Leipzig, Germany"", ""Univ Philippines, Inst Biol Sci, Coll Arts & Sci, Los Banos 4031, Laguna, Philippines"", ""Northwest A&F Univ, Coll Water Resources & Architectural Engn, Yangling 712100, Shaanxi, Peoples R China""]",,Times Cited in Web of Science Core Collection:  3     Total Times Cited:  4     Cited Reference Count:  78,10.1007/s00442-019-04454-5     WE  - Science Citation Index Expanded (SCI-EXPANDED),Alpine insects;China;Environmental drivers;Functional diversity;GLMs;LIFE-HISTORY TRAITS;BODY-SIZE;SPECIES RICHNESS;HERBIVOROUS INSECTS;SPECIALIZATION;LEPIDOPTERA;VOLTINISM;CONSEQUENCES;COMMUNITIES;STRATEGIES,,
rayyan-395285437,Mitogenomes of Three Satyrid Butterfly Species (Nymphalidae: Lepidoptera) and Reconstructed Phylogeny of Satyrinae,2021,10,,DIVERSITY-BASEL,1424-2818     J9  - DIVERSITY-BASEL     JI  - Diversity-Basel,13,10,,"Dan, ZC and Duan, L and Chen, ZN and Guan, DL and Xu, SQ",,English,,"[""Shaanxi Normal Univ, Coll Life Sci, Xian 710119, Peoples R China"", ""Qinghai Normal Univ, Coll Life Sci, Xining 810000, Peoples R China""]",,Times Cited in Web of Science Core Collection:  0     Total Times Cited:  0     Cited Reference Count:  60,10.3390/d13100468     WE  - Science Citation Index Expanded (SCI-EXPANDED),mitochondrial DNA;butterfly;Satyrinae;COMPLETE MITOCHONDRIAL GENOME;MOLECULAR EVOLUTION;OENEIS-URDA;SEQUENCE;DIVERSIFICATION;PERFORMANCE;PLATFORM;GENUS,,
rayyan-395285000,Secondary contact rather than coexistence-Erebia butterflies in the Alps,2022,11,,EVOLUTION,"[""0014-3820"", ""1558-5646     J9  - EVOLUTION     JI  - Evolution""]",76,11,2669-2686,"Augustijnen, H and Patsiou, T and Lucek, K",,English,,"[""Univ Basel, Dept Environm Sci, CH-4056 Basel, Switzerland"", ""Univ Bern, Inst Plant Sci, CH-3013 Bern, Switzerland"", ""Univ Fribourg, Dept Biol, CH-1700 Fribourg, Switzerland""]",,Times Cited in Web of Science Core Collection:  0     Total Times Cited:  0     Cited Reference Count:  125,10.1111/evo.14615,Lepidoptera;P matrix;reinforcement;secondary contact;REPRODUCTIVE CHARACTER DISPLACEMENT;LOCK-AND-KEY;MOUNTAIN BUTTERFLIES;RINGLET BUTTERFLIES;GENETIC-STRUCTURE;SEXUAL SELECTION;MATE PREFERENCE;RANGE EXPANSION;MALE GENITALIA;REINFORCEMENT,,
rayyan-395285021,Resolving Relationships among the Megadiverse Butterflies and Moths with a Novel Pipeline for Anchored Phylogenomics,2018,1,,SYSTEMATIC BIOLOGY,"[""1063-5157"", ""1076-836X     J9  - SYST BIOL     JI  - Syst. Biol.""]",67,1,78-93,"Breinholt, JW and Earl, C and Lemmon, AR and Lemmon, EM and Xiao, L and Kawahara, AY",,English,,"[""Univ Florida, Florida Museum Nat Hist, Gainesville, FL 32611 USA"", ""RAPiD Genom, 747 SW 2nd Ave IMB 14, Gainesville, FL 32601 USA"", ""Florida State Univ, Dept Sci Comp, Tallahassee, FL 32306 USA"", ""Florida State Univ, Dept Biol Sci, Tallahassee, FL 32306 USA""]",,Times Cited in Web of Science Core Collection:  77     Total Times Cited:  78     Cited Reference Count:  84,10.1093/sysbio/syx048     WE  - Science Citation Index Expanded (SCI-EXPANDED),Exon;hybrid enrichment;phylogenetics;sequence capture;target capture;transcriptomics;ultraconserved elements;HIGHER-LEVEL CLASSIFICATION;ULTRACONSERVED ELEMENTS;MISSING DATA;GENOME;SEQUENCE;GENE;TREE;EVOLUTIONARY;ENRICHMENT;CAPTURE,,
rayyan-395285125,"Remarkable sexual dimorphism, rarity and cryptic species: a revision of the 'aegrota species group' of the Neotropical butterfly genus Caeruleuptychia Forster, 1964 with the description of three new species (Lepidoptera, Nymphalidae, Satyrinae)",2018,,,INSECT SYSTEMATICS & EVOLUTION,"[""1399-560X"", ""1876-312X     J9  - INSECT SYST EVOL     JI  - Insect Syst. Evol.""]",49,2,130-182,"Nakahara, S and Zacca, T and Huertas, B and Neild, AFE and Hall, JPW and Lamas, G and Holian, LA and Espeland, M and Willmott, KR",,English,,"[""Univ Florida, McGuire Ctr Lepidoptera & Biodivers, Florida Museum Nat Hist, Gainesville, FL 32611 USA"", ""Univ Fed Parana, Dept Zool, Lab Estudos Lepidoptera Neotrop, Caixa Postal 19020, BR-81531980 Curitiba, Parana, Brazil"", ""Nat Hist Museum, Life Sci Dept, Cromwell Rd, London SW7 5BD, England"", ""Smithsonian Inst, Natl Museum Nat Hist, Dept Entomol, Washington, DC 20560 USA"", ""Univ Nacl Mayor San Marcos, Dept Entomol, Museo Hist Nat, Apartado 14-0434, Lima 14, Peru"", ""Univ Florida, Dept Biol, Gainesville, FL 32611 USA"", ""Zool Res Museum Alexander Koenig, Arthropoda Dept, Adenauer Allee 160, D-53113 Bonn, Germany""]",,Times Cited in Web of Science Core Collection:  11     Total Times Cited:  18     Cited Reference Count:  51,10.1163/1876312X-00002167     WE  - Science Citation Index Expanded (SCI-EXPANDED),Amazonian forest;DNA barcode;eastern Andes;Euptychiina;lectotype;Magneuptychia;synonym;taxonomy;HISTORY,,
